ID,Education,JoiningYear,City,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Salary,Department,Age_Group
778,Bachelors,2013,Bangalore,3,26,Male,4,0,41635,Sales,26-35
779,Bachelors,2016,Bangalore,3,25,Male,3,0,43842,Sales,26-35
780,Bachelors,2015,Pune,2,26,Female,4,1,60604,HR,26-35
781,Bachelors,2017,New Delhi,3,25,Male,3,0,42279,Sales,26-35
782,Bachelors,2013,Bangalore,3,26,Male,4,0,41272,Sales,26-35
783,Bachelors,2013,Pune,2,27,Male,5,0,65060,HR,26-35
784,Bachelors,2015,Pune,2,25,Female,3,1,68484,HR,26-35
785,Bachelors,2016,Bangalore,3,25,Male,3,0,46727,Sales,26-35
786,Bachelors,2017,Bangalore,3,25,Male,3,1,41409,Sales,26-35
787,Bachelors,2016,Pune,3,28,Male,1,0,48337,Sales,26-35
788,Bachelors,2018,Bangalore,3,24,Male,2,1,44436,Sales,18-25
789,Masters,2015,Pune,3,28,Female,3,0,55160,Sales,26-35
790,Bachelors,2017,Bangalore,3,26,Male,4,0,43324,Sales,26-35
791,Masters,2017,Pune,2,26,Male,4,1,78959,HR,26-35
792,Bachelors,2017,New Delhi,2,27,Female,5,0,60447,HR,26-35
793,Bachelors,2013,Pune,2,26,Female,4,1,64203,HR,26-35
794,Bachelors,2012,Bangalore,3,24,Male,2,0,48179,Sales,18-25
795,Bachelors,2013,New Delhi,3,28,Female,3,0,47386,Sales,26-35
796,Masters,2015,Pune,2,24,Female,2,0,74140,HR,18-25
797,Bachelors,2016,Bangalore,3,25,Male,3,0,49087,Sales,26-35
798,Masters,2017,New Delhi,2,25,Male,3,1,76811,HR,26-35
799,Bachelors,2016,Bangalore,3,26,Male,4,0,48382,Sales,26-35
800,Bachelors,2013,Bangalore,3,24,Male,2,0,48728,Sales,18-25
801,Bachelors,2012,Pune,2,25,Male,3,1,61806,HR,26-35
802,Bachelors,2014,Bangalore,3,24,Male,2,0,42356,Sales,18-25
803,Bachelors,2017,Bangalore,3,27,Female,5,1,48701,Sales,26-35
804,Bachelors,2017,New Delhi,3,27,Female,5,0,48090,Sales,26-35
805,Bachelors,2013,Pune,3,27,Male,5,0,46016,Sales,26-35
806,Bachelors,2015,Pune,2,24,Female,2,1,60898,HR,18-25
807,Bachelors,2017,Bangalore,3,24,Female,2,0,45072,Sales,18-25
808,Phd,2015,New Delhi,3,28,Female,1,0,63160,Sales,26-35
809,Bachelors,2017,Bangalore,3,27,Male,5,0,46802,Sales,26-35
810,Masters,2017,New Delhi,2,28,Female,2,0,79364,HR,26-35
811,Bachelors,2017,New Delhi,2,25,Female,3,0,65279,HR,26-35
812,Bachelors,2014,Pune,2,25,Female,3,1,66497,HR,26-35
813,Bachelors,2016,New Delhi,3,28,Female,3,0,41647,Sales,26-35
814,Bachelors,2015,Pune,2,27,Female,5,1,61066,HR,26-35
815,Masters,2017,Pune,2,25,Male,3,1,74184,HR,26-35
816,Masters,2017,Bangalore,2,25,Female,3,1,79832,HR,26-35
817,Bachelors,2017,Bangalore,3,24,Female,2,1,42404,Sales,18-25
818,Bachelors,2013,Bangalore,3,26,Female,4,0,46006,Sales,26-35
819,Bachelors,2018,Bangalore,3,24,Male,2,1,46889,Sales,18-25
820,Bachelors,2016,New Delhi,3,28,Male,1,0,42825,Sales,26-35
821,Masters,2017,New Delhi,2,24,Male,2,1,79471,HR,18-25
822,Bachelors,2017,Bangalore,3,25,Male,3,0,49616,Sales,26-35
823,Bachelors,2017,Bangalore,3,25,Male,3,0,44524,Sales,26-35
824,Bachelors,2017,Bangalore,3,24,Male,2,1,49666,Sales,18-25
825,Masters,2014,New Delhi,3,25,Female,3,1,52954,Sales,26-35
826,Bachelors,2012,Bangalore,3,27,Female,5,0,41203,Sales,26-35
827,Bachelors,2012,New Delhi,3,27,Female,5,0,41334,Sales,26-35
828,Bachelors,2017,Bangalore,3,28,Male,2,1,41617,Sales,26-35
829,Bachelors,2012,Bangalore,3,28,Male,3,1,43100,Sales,26-35
830,Bachelors,2012,Pune,3,28,Female,2,0,42486,Sales,26-35
831,Bachelors,2018,Bangalore,3,24,Female,2,1,47280,Sales,18-25
832,Phd,2016,New Delhi,3,24,Female,2,0,65097,Sales,18-25
833,Masters,2017,New Delhi,2,27,Female,5,1,72055,HR,26-35
834,Masters,2013,New Delhi,2,27,Female,5,1,79119,HR,26-35
835,Bachelors,2015,Bangalore,3,26,Female,4,0,43009,Sales,26-35
836,Masters,2015,New Delhi,3,28,Female,1,1,52781,Sales,26-35
837,Bachelors,2014,Bangalore,3,27,Male,5,0,48450,Sales,26-35
838,Bachelors,2013,New Delhi,3,25,Female,3,0,47249,Sales,26-35
839,Bachelors,2015,Bangalore,3,26,Female,4,1,46480,Sales,26-35
840,Bachelors,2012,Pune,3,24,Male,2,0,48491,Sales,18-25
841,Bachelors,2012,Bangalore,3,26,Female,4,0,42714,Sales,26-35
842,Masters,2015,Pune,2,25,Female,3,1,79290,HR,26-35
843,Bachelors,2013,New Delhi,3,24,Male,2,0,43470,Sales,18-25
844,Masters,2017,New Delhi,2,27,Female,5,0,70172,HR,26-35
845,Masters,2017,Pune,2,26,Male,4,0,70506,HR,26-35
846,Bachelors,2014,Pune,3,27,Male,5,0,45287,Sales,26-35
847,Bachelors,2018,Bangalore,3,25,Male,3,1,44029,Sales,26-35
848,Bachelors,2014,Bangalore,3,25,Female,3,0,47700,Sales,26-35
849,Bachelors,2013,Pune,2,27,Female,5,1,65920,HR,26-35
850,Bachelors,2015,Pune,3,26,Male,4,0,43324,Sales,26-35
851,Bachelors,2017,Pune,2,24,Male,2,1,61615,HR,18-25
852,Masters,2017,New Delhi,2,26,Male,4,1,79081,HR,26-35
853,Bachelors,2013,Pune,2,25,Male,3,1,65112,HR,26-35
854,Masters,2017,New Delhi,2,25,Female,3,1,79599,HR,26-35
855,Bachelors,2013,Pune,3,26,Female,4,0,42925,Sales,26-35
856,Bachelors,2014,Pune,3,28,Male,2,0,42579,Sales,26-35
857,Bachelors,2016,New Delhi,3,27,Female,5,0,42921,Sales,26-35
858,Bachelors,2017,New Delhi,2,28,Male,1,0,69001,HR,26-35
859,Masters,2014,New Delhi,3,27,Male,5,0,56292,Sales,26-35
860,Bachelors,2014,New Delhi,3,28,Female,1,0,44333,Sales,26-35
861,Bachelors,2015,Bangalore,3,27,Male,5,1,48993,Sales,26-35
862,Bachelors,2015,Bangalore,3,24,Male,2,1,45387,Sales,18-25
863,Bachelors,2018,Bangalore,3,24,Male,2,1,48285,Sales,18-25
864,Bachelors,2013,Pune,3,26,Male,4,0,40747,Sales,26-35
865,Bachelors,2012,Bangalore,3,28,Female,2,0,47322,Sales,26-35
866,Masters,2017,Pune,2,26,Male,4,0,73987,HR,26-35
867,Masters,2017,New Delhi,2,25,Male,3,1,75869,HR,26-35
868,Bachelors,2016,New Delhi,3,27,Female,5,0,42149,Sales,26-35
869,Bachelors,2012,Bangalore,3,26,Male,4,0,44782,Sales,26-35
870,Bachelors,2015,Pune,3,25,Male,3,0,49604,Sales,26-35
871,Bachelors,2012,New Delhi,3,26,Female,4,0,42915,Sales,26-35
872,Masters,2014,Bangalore,3,27,Male,5,1,54393,Sales,26-35
873,Masters,2017,New Delhi,2,26,Male,4,0,70477,HR,26-35
874,Masters,2012,New Delhi,3,26,Male,4,1,50829,Sales,26-35
875,Bachelors,2015,Pune,2,26,Female,4,1,62535,HR,26-35
876,Masters,2014,New Delhi,3,25,Male,3,0,58645,Sales,26-35
877,Bachelors,2015,Bangalore,3,28,Male,2,0,48428,Sales,26-35
878,Masters,2012,Pune,3,27,Male,5,1,53136,Sales,26-35
879,Bachelors,2017,Bangalore,2,27,Male,5,0,60226,HR,26-35
880,Bachelors,2016,Bangalore,3,24,Male,2,0,46933,Sales,18-25
881,Bachelors,2017,Bangalore,3,27,Male,5,0,41144,Sales,26-35
882,Bachelors,2014,Bangalore,3,26,Male,4,1,41699,Sales,26-35
883,Bachelors,2017,Bangalore,3,24,Female,2,0,43699,Sales,18-25
884,Bachelors,2017,Bangalore,3,28,Male,1,0,41619,Sales,26-35
885,Bachelors,2014,Bangalore,3,26,Male,4,1,47694,Sales,26-35
886,Bachelors,2018,Bangalore,3,28,Female,3,1,40753,Sales,26-35
887,Bachelors,2014,New Delhi,3,24,Female,2,0,49820,Sales,18-25
888,Bachelors,2017,Bangalore,1,27,Male,5,0,93124,IT,26-35
889,Bachelors,2015,New Delhi,3,24,Female,2,0,48334,Sales,18-25
890,Bachelors,2017,Bangalore,3,27,Male,5,0,40601,Sales,26-35
891,Bachelors,2017,Pune,3,28,Male,3,0,48563,Sales,26-35
892,Bachelors,2014,Bangalore,3,25,Male,3,0,48249,Sales,26-35
893,Bachelors,2017,Bangalore,3,25,Female,3,0,47905,Sales,26-35
894,Bachelors,2018,Bangalore,3,25,Male,3,1,47358,Sales,26-35
895,Bachelors,2013,Bangalore,3,28,Female,3,0,48990,Sales,26-35
896,Bachelors,2017,New Delhi,3,27,Male,5,0,47321,Sales,26-35
897,Bachelors,2013,Bangalore,3,27,Male,5,0,44610,Sales,26-35
898,Masters,2017,New Delhi,2,26,Female,4,1,78038,HR,26-35
899,Bachelors,2014,Bangalore,3,24,Male,2,0,42018,Sales,18-25
900,Bachelors,2017,Pune,3,27,Male,5,0,43747,Sales,26-35
901,Bachelors,2012,Pune,3,27,Male,5,0,44439,Sales,26-35
902,Bachelors,2017,Pune,3,24,Male,2,0,42707,Sales,18-25
903,Bachelors,2014,Bangalore,3,25,Male,3,0,45051,Sales,26-35
904,Bachelors,2014,Bangalore,3,28,Male,3,0,48611,Sales,26-35
905,Bachelors,2018,Bangalore,3,26,Male,4,1,44832,Sales,26-35
906,Masters,2017,Bangalore,3,28,Male,1,1,52867,Sales,26-35
907,Bachelors,2018,Bangalore,3,27,Male,5,1,43657,Sales,26-35
908,Bachelors,2017,Bangalore,3,28,Male,1,0,45538,Sales,26-35
909,Bachelors,2016,Bangalore,3,25,Male,3,0,43055,Sales,26-35
910,Bachelors,2013,Pune,3,24,Female,2,0,47859,Sales,18-25
911,Bachelors,2018,New Delhi,3,25,Female,3,1,48639,Sales,26-35
912,Bachelors,2014,Bangalore,3,24,Female,2,0,44004,Sales,18-25
913,Bachelors,2012,Bangalore,3,26,Male,4,0,46405,Sales,26-35
914,Masters,2013,New Delhi,1,24,Female,2,0,110903,IT,18-25
915,Masters,2013,New Delhi,1,24,Male,2,1,105688,IT,18-25
916,Bachelors,2014,Bangalore,3,26,Male,4,0,42601,Sales,26-35
917,Bachelors,2017,Bangalore,3,27,Male,5,0,41689,Sales,26-35
918,Bachelors,2017,New Delhi,2,25,Male,3,0,63280,HR,26-35
919,Bachelors,2015,Bangalore,3,28,Female,1,0,47294,Sales,26-35
920,Bachelors,2014,Bangalore,3,24,Male,2,0,47119,Sales,18-25
921,Phd,2018,New Delhi,3,24,Female,2,1,68077,Sales,18-25
922,Bachelors,2015,Pune,3,28,Male,1,0,46893,Sales,26-35
923,Bachelors,2015,Bangalore,3,26,Male,4,0,45922,Sales,26-35
924,Phd,2015,Pune,2,28,Female,1,0,83486,HR,26-35
925,Bachelors,2018,Bangalore,3,25,Male,3,1,44637,Sales,26-35
926,Bachelors,2016,Bangalore,3,26,Male,4,0,42912,Sales,26-35
927,Bachelors,2015,Bangalore,3,27,Female,5,1,41576,Sales,26-35
928,Bachelors,2017,Pune,3,24,Male,2,0,45718,Sales,18-25
929,Bachelors,2014,Bangalore,3,27,Male,5,0,48753,Sales,26-35
930,Masters,2012,New Delhi,3,28,Male,2,0,53415,Sales,26-35
931,Bachelors,2012,Bangalore,3,28,Male,3,0,43975,Sales,26-35
932,Bachelors,2012,Pune,2,27,Female,5,1,64948,HR,26-35
933,Bachelors,2012,New Delhi,2,27,Female,5,1,64199,HR,26-35
934,Masters,2012,Bangalore,3,27,Male,5,1,56728,Sales,26-35
935,Bachelors,2018,Bangalore,3,25,Female,3,1,42023,Sales,26-35
936,Masters,2018,Pune,3,27,Male,5,1,57026,Sales,26-35
937,Masters,2017,New Delhi,2,28,Male,2,0,76390,HR,26-35
938,Bachelors,2013,Bangalore,3,27,Male,5,0,46316,Sales,26-35
939,Masters,2017,Bangalore,2,28,Male,2,1,74548,HR,26-35
940,Bachelors,2017,Pune,3,27,Male,5,0,40519,Sales,26-35
941,Bachelors,2017,Pune,3,28,Female,1,0,42159,Sales,26-35
942,Bachelors,2016,Bangalore,3,28,Male,3,0,45659,Sales,26-35
943,Bachelors,2014,New Delhi,3,26,Female,4,0,49000,Sales,26-35
944,Bachelors,2018,Bangalore,3,25,Male,3,1,43435,Sales,26-35
945,Bachelors,2017,New Delhi,3,26,Female,4,0,41660,Sales,26-35
946,Bachelors,2015,Pune,2,26,Female,4,1,67655,HR,26-35
947,Bachelors,2017,New Delhi,3,26,Male,4,0,40634,Sales,26-35
948,Bachelors,2012,Bangalore,3,25,Female,3,0,47002,Sales,26-35
949,Bachelors,2017,Bangalore,3,25,Male,3,0,43905,Sales,26-35
950,Bachelors,2013,Bangalore,3,28,Female,1,1,40433,Sales,26-35
951,Bachelors,2013,Pune,3,24,Female,2,1,45753,Sales,18-25
952,Bachelors,2014,Bangalore,3,25,Male,3,0,44421,Sales,26-35
953,Masters,2017,New Delhi,3,25,Male,3,1,57218,Sales,26-35
954,Bachelors,2015,Pune,2,27,Female,5,1,63438,HR,26-35
955,Masters,2017,Pune,2,28,Male,3,0,73947,HR,26-35
956,Masters,2017,New Delhi,3,26,Male,4,0,52923,Sales,26-35
957,Masters,2017,Pune,2,24,Female,2,0,71593,HR,18-25
958,Masters,2015,Pune,1,26,Female,4,0,110001,IT,26-35
959,Masters,2013,Pune,3,26,Male,4,0,56992,Sales,26-35
960,Bachelors,2015,Bangalore,3,26,Male,4,0,49453,Sales,26-35
961,Bachelors,2017,Pune,3,24,Male,2,0,45024,Sales,18-25
962,Phd,2016,Bangalore,3,27,Male,5,0,66604,Sales,26-35
963,Bachelors,2018,Bangalore,3,24,Male,2,1,49679,Sales,18-25
964,Bachelors,2014,Pune,3,25,Male,3,0,43487,Sales,26-35
965,Bachelors,2012,Bangalore,3,26,Male,4,0,42552,Sales,26-35
966,Bachelors,2017,Bangalore,3,28,Male,3,0,43822,Sales,26-35
967,Bachelors,2014,Pune,3,25,Male,3,0,46223,Sales,26-35
968,Masters,2018,New Delhi,3,25,Female,3,1,57939,Sales,26-35
969,Bachelors,2013,Pune,2,25,Female,3,1,69987,HR,26-35
970,Phd,2013,New Delhi,3,26,Male,4,0,66884,Sales,26-35
971,Bachelors,2015,New Delhi,3,28,Female,3,0,44408,Sales,26-35
972,Bachelors,2017,Bangalore,3,24,Male,2,0,45183,Sales,18-25
973,Masters,2018,New Delhi,1,26,Female,4,1,106664,IT,26-35
974,Bachelors,2013,Pune,2,24,Female,2,1,68788,HR,18-25
975,Bachelors,2018,Bangalore,3,24,Male,2,1,41539,Sales,18-25
976,Phd,2016,Pune,1,25,Female,3,1,132156,IT,26-35
977,Bachelors,2014,Pune,3,26,Male,4,1,41865,Sales,26-35
978,Masters,2015,Pune,1,27,Female,5,0,114161,IT,26-35
979,Bachelors,2013,Pune,3,28,Female,2,1,44935,Sales,26-35
980,Bachelors,2016,Bangalore,1,27,Female,5,0,92791,IT,26-35
981,Bachelors,2014,New Delhi,3,24,Male,2,0,43718,Sales,18-25
982,Bachelors,2016,Bangalore,3,26,Male,4,0,49296,Sales,26-35
983,Bachelors,2015,Pune,3,25,Female,3,1,40481,Sales,26-35
984,Bachelors,2013,Bangalore,3,24,Male,2,0,46244,Sales,18-25
985,Bachelors,2015,Bangalore,3,25,Female,3,0,49145,Sales,26-35
986,Bachelors,2015,Bangalore,3,26,Male,4,0,49174,Sales,26-35
987,Bachelors,2016,Bangalore,3,26,Male,4,0,43173,Sales,26-35
988,Bachelors,2013,Pune,3,26,Male,4,0,42089,Sales,26-35
989,Masters,2016,Bangalore,3,26,Female,4,1,54522,Sales,26-35
990,Bachelors,2018,Bangalore,3,27,Female,5,1,49405,Sales,26-35
991,Bachelors,2017,Bangalore,3,24,Female,2,0,49843,Sales,18-25
992,Bachelors,2014,New Delhi,3,24,Female,2,0,45766,Sales,18-25
993,Bachelors,2013,Pune,3,26,Male,4,0,48511,Sales,26-35
994,Bachelors,2014,Bangalore,3,26,Male,4,0,40860,Sales,26-35
995,Bachelors,2014,Bangalore,3,24,Male,2,0,40824,Sales,18-25
996,Bachelors,2012,Bangalore,3,26,Male,4,0,40284,Sales,26-35
997,Bachelors,2014,Pune,2,26,Female,4,1,65520,HR,26-35
998,Bachelors,2016,New Delhi,3,28,Female,5,0,40231,Sales,26-35
999,Bachelors,2015,Bangalore,3,28,Male,5,0,41934,Sales,26-35
1000,Bachelors,2012,Pune,2,26,Female,4,1,61733,HR,26-35
1001,Bachelors,2013,New Delhi,3,26,Female,4,0,48527,Sales,26-35
1002,Bachelors,2013,Pune,3,24,Male,2,0,45360,Sales,18-25
1003,Masters,2017,New Delhi,3,28,Female,3,0,56042,Sales,26-35
1004,Bachelors,2012,New Delhi,3,27,Female,5,0,40124,Sales,26-35
1005,Bachelors,2017,Bangalore,3,25,Male,3,0,44979,Sales,26-35
1006,Bachelors,2012,New Delhi,3,24,Female,2,1,45236,Sales,18-25
1007,Masters,2015,Pune,1,24,Male,2,0,104872,IT,18-25
1008,Masters,2013,New Delhi,3,27,Male,5,1,59716,Sales,26-35
1009,Bachelors,2017,New Delhi,3,24,Female,2,1,47133,Sales,18-25
1010,Bachelors,2014,Bangalore,3,28,Male,1,1,41191,Sales,26-35
1011,Bachelors,2015,Bangalore,3,28,Female,1,0,49528,Sales,26-35
1012,Masters,2013,New Delhi,3,27,Male,5,0,52829,Sales,26-35
1013,Bachelors,2014,Bangalore,3,26,Male,4,0,49061,Sales,26-35
1014,Bachelors,2017,Bangalore,3,25,Male,3,0,48239,Sales,26-35
1015,Masters,2015,New Delhi,3,24,Male,2,1,53266,Sales,18-25
1016,Bachelors,2014,Bangalore,3,25,Male,3,0,41847,Sales,26-35
1017,Bachelors,2014,Bangalore,3,25,Female,3,0,45380,Sales,26-35
1018,Bachelors,2017,Bangalore,1,24,Male,2,0,84782,IT,18-25
1019,Bachelors,2014,New Delhi,3,27,Female,5,1,41480,Sales,26-35
1020,Bachelors,2013,Bangalore,3,27,Female,5,0,40715,Sales,26-35
1021,Bachelors,2012,Bangalore,3,28,Female,2,0,45371,Sales,26-35
1022,Bachelors,2015,Bangalore,3,27,Male,5,0,42401,Sales,26-35
1023,Bachelors,2012,Bangalore,3,26,Male,4,0,46274,Sales,26-35
1024,Bachelors,2013,Pune,1,27,Female,5,1,84111,IT,26-35
1025,Bachelors,2014,New Delhi,3,27,Female,5,0,41726,Sales,26-35
1026,Bachelors,2014,Bangalore,3,28,Male,4,0,48884,Sales,26-35
1027,Bachelors,2014,Bangalore,3,27,Male,5,1,47335,Sales,26-35
1028,Bachelors,2014,Bangalore,3,28,Female,1,0,41088,Sales,26-35
1029,Masters,2018,New Delhi,3,25,Female,3,1,58320,Sales,26-35
1030,Bachelors,2017,Bangalore,3,27,Male,5,0,42731,Sales,26-35
1031,Bachelors,2015,Bangalore,3,24,Male,2,1,43569,Sales,18-25
1032,Masters,2017,Pune,2,25,Female,3,1,75578,HR,26-35
1033,Bachelors,2017,New Delhi,2,27,Female,5,0,60161,HR,26-35
1034,Bachelors,2016,Bangalore,3,28,Male,3,1,46033,Sales,26-35
1035,Bachelors,2015,Pune,2,25,Female,3,1,64340,HR,26-35
1036,Masters,2017,New Delhi,3,24,Male,2,0,54110,Sales,18-25
1037,Bachelors,2015,Bangalore,3,28,Male,4,0,40592,Sales,26-35
1038,Masters,2014,Pune,3,26,Male,4,1,57484,Sales,26-35
1039,Bachelors,2013,Pune,3,26,Male,4,0,49606,Sales,26-35
1040,Bachelors,2016,Bangalore,3,26,Male,4,0,44901,Sales,26-35
1041,Bachelors,2013,Bangalore,3,26,Male,4,0,49317,Sales,26-35
1042,Masters,2013,New Delhi,1,24,Female,2,1,116331,IT,18-25
1043,Bachelors,2014,Bangalore,3,25,Male,3,0,43404,Sales,26-35
1044,Bachelors,2018,Bangalore,3,27,Male,5,1,44108,Sales,26-35
1045,Bachelors,2013,Bangalore,3,28,Male,1,0,40151,Sales,26-35
1046,Bachelors,2016,Pune,2,28,Female,4,1,66522,HR,26-35
1047,Bachelors,2012,Bangalore,3,28,Male,1,0,45609,Sales,26-35
1048,Bachelors,2017,New Delhi,3,25,Female,3,0,47534,Sales,26-35
1049,Bachelors,2018,Bangalore,3,25,Male,3,1,48566,Sales,26-35
1050,Bachelors,2012,Pune,1,27,Female,5,1,82961,IT,26-35
1051,Masters,2017,New Delhi,3,24,Male,2,0,57359,Sales,18-25
1052,Bachelors,2014,Bangalore,3,24,Male,2,0,41010,Sales,18-25
1053,Bachelors,2014,Pune,3,26,Male,4,0,44098,Sales,26-35
1054,Bachelors,2013,Bangalore,3,25,Female,3,1,46569,Sales,26-35
1055,Bachelors,2017,Bangalore,3,28,Male,2,0,46141,Sales,26-35
1056,Bachelors,2015,Pune,3,25,Female,3,1,46624,Sales,26-35
1057,Bachelors,2017,Bangalore,3,24,Male,2,0,45093,Sales,18-25
1058,Bachelors,2018,Bangalore,3,24,Male,2,1,48410,Sales,18-25
1059,Bachelors,2016,Bangalore,3,28,Male,4,0,45005,Sales,26-35
1060,Bachelors,2014,Bangalore,3,26,Female,4,0,48270,Sales,26-35
1061,Bachelors,2017,Bangalore,3,28,Male,1,0,40625,Sales,26-35
1062,Bachelors,2012,Bangalore,3,27,Male,5,0,44583,Sales,26-35
1063,Bachelors,2016,New Delhi,3,26,Male,4,0,45200,Sales,26-35
1064,Bachelors,2014,Bangalore,3,27,Female,5,0,41253,Sales,26-35
1065,Bachelors,2014,Bangalore,3,27,Female,5,1,42356,Sales,26-35
1066,Bachelors,2013,Bangalore,3,26,Male,4,0,46957,Sales,26-35
1067,Phd,2015,New Delhi,2,24,Female,2,0,87244,HR,18-25
1068,Bachelors,2018,Bangalore,3,26,Male,4,1,43246,Sales,26-35
1069,Bachelors,2017,New Delhi,2,24,Female,2,0,62420,HR,18-25
1070,Phd,2015,Pune,1,25,Female,3,1,120128,IT,26-35
1071,Bachelors,2017,New Delhi,3,24,Male,2,0,46509,Sales,18-25
1072,Bachelors,2013,Bangalore,3,25,Female,3,0,49848,Sales,26-35
1073,Bachelors,2014,Bangalore,3,24,Male,2,0,42492,Sales,18-25
1074,Masters,2018,New Delhi,3,26,Male,4,1,52082,Sales,26-35
1075,Bachelors,2015,Bangalore,2,25,Female,3,1,69231,HR,26-35
1076,Bachelors,2012,Bangalore,3,25,Male,3,0,42877,Sales,26-35
1077,Masters,2012,New Delhi,3,28,Male,2,0,51645,Sales,26-35
1078,Bachelors,2015,Bangalore,3,24,Female,2,0,44430,Sales,18-25
1079,Bachelors,2012,Bangalore,3,24,Male,2,0,49966,Sales,18-25
1080,Phd,2018,New Delhi,3,27,Female,5,1,64181,Sales,26-35
1081,Bachelors,2014,Bangalore,3,25,Male,3,0,48846,Sales,26-35
1082,Bachelors,2012,Bangalore,3,25,Male,3,0,41424,Sales,26-35
1083,Bachelors,2012,Bangalore,3,28,Male,5,0,48172,Sales,26-35
1084,Bachelors,2017,New Delhi,2,26,Female,4,0,68343,HR,26-35
1085,Bachelors,2013,Bangalore,3,25,Male,3,0,45934,Sales,26-35
1086,Masters,2018,Pune,3,24,Male,2,1,58721,Sales,18-25
1087,Bachelors,2016,Bangalore,3,26,Male,4,0,40021,Sales,26-35
1088,Bachelors,2013,Bangalore,3,26,Male,4,0,40745,Sales,26-35
1089,Bachelors,2016,New Delhi,3,28,Female,2,0,49775,Sales,26-35
1090,Masters,2017,New Delhi,2,27,Male,5,1,78716,HR,26-35
1091,Bachelors,2018,Pune,2,27,Female,5,1,60661,HR,26-35
1092,Masters,2014,New Delhi,3,28,Female,4,0,52280,Sales,26-35
1093,Masters,2017,New Delhi,3,25,Female,3,0,50192,Sales,26-35
1094,Masters,2017,Bangalore,3,26,Female,4,0,56430,Sales,26-35
1095,Bachelors,2015,Pune,2,27,Female,5,1,69656,HR,26-35
1096,Bachelors,2013,New Delhi,3,27,Female,5,0,43452,Sales,26-35
1097,Masters,2017,New Delhi,1,26,Female,4,0,100839,IT,26-35
1098,Bachelors,2013,New Delhi,3,27,Female,5,0,47506,Sales,26-35
1099,Bachelors,2012,New Delhi,3,28,Male,3,0,48699,Sales,26-35
1100,Masters,2017,Pune,2,27,Male,5,1,77186,HR,26-35
1101,Bachelors,2017,New Delhi,3,26,Female,4,0,42610,Sales,26-35
1102,Bachelors,2013,Bangalore,3,28,Female,4,1,43137,Sales,26-35
1103,Masters,2012,New Delhi,3,27,Male,5,1,53112,Sales,26-35
1104,Bachelors,2017,Pune,2,24,Male,2,0,62953,HR,18-25
1105,Masters,2017,New Delhi,3,25,Female,3,1,57486,Sales,26-35
1106,Bachelors,2018,Bangalore,3,25,Female,3,1,44111,Sales,26-35
1107,Bachelors,2016,Bangalore,3,28,Male,4,0,43416,Sales,26-35
1108,Masters,2017,New Delhi,3,28,Male,2,0,56035,Sales,26-35
1109,Bachelors,2014,Bangalore,3,24,Male,2,0,40602,Sales,18-25
1110,Bachelors,2016,Bangalore,3,26,Male,4,0,40224,Sales,26-35
1111,Bachelors,2014,Pune,3,24,Female,2,1,44952,Sales,18-25
1112,Bachelors,2013,Pune,3,26,Male,4,0,49621,Sales,26-35
1113,Bachelors,2012,Bangalore,3,27,Male,5,0,44895,Sales,26-35
1114,Bachelors,2018,Bangalore,3,24,Male,2,1,43062,Sales,18-25
1115,Bachelors,2017,Bangalore,1,26,Female,4,0,95146,IT,26-35
1116,Bachelors,2015,Bangalore,3,28,Female,3,0,43960,Sales,26-35
1117,Bachelors,2013,Bangalore,3,28,Male,3,1,40271,Sales,26-35
1118,Bachelors,2012,Bangalore,3,27,Male,5,0,47657,Sales,26-35
1119,Bachelors,2013,Bangalore,3,26,Female,4,0,46358,Sales,26-35
1120,Masters,2013,New Delhi,2,27,Female,5,1,75724,HR,26-35
1121,Bachelors,2016,New Delhi,3,24,Female,2,0,48512,Sales,18-25
1122,Bachelors,2015,Pune,2,28,Female,2,1,62788,HR,26-35
1123,Bachelors,2015,New Delhi,2,25,Female,3,1,63469,HR,26-35
1124,Bachelors,2014,Pune,3,24,Male,2,0,45541,Sales,18-25
1125,Bachelors,2017,New Delhi,3,27,Female,5,0,47996,Sales,26-35
1126,Bachelors,2012,New Delhi,3,26,Male,4,0,43422,Sales,26-35
1127,Bachelors,2013,Bangalore,3,28,Male,0,0,42201,Sales,26-35
1128,Bachelors,2012,Pune,3,28,Male,5,0,40951,Sales,26-35
1129,Bachelors,2015,Pune,2,26,Female,4,1,63570,HR,26-35
1130,Bachelors,2016,Bangalore,1,26,Male,4,0,90204,IT,26-35
1131,Masters,2017,New Delhi,2,28,Female,2,1,78506,HR,26-35
1132,Masters,2017,New Delhi,2,25,Male,3,1,72149,HR,26-35
1133,Bachelors,2017,Bangalore,3,24,Male,2,0,41182,Sales,18-25
1134,Bachelors,2013,Bangalore,3,28,Male,0,0,43579,Sales,26-35
1135,Bachelors,2014,Pune,3,27,Male,5,1,40713,Sales,26-35
1136,Bachelors,2016,Pune,2,26,Female,4,1,69088,HR,26-35
1137,Bachelors,2018,Bangalore,3,27,Female,5,1,48687,Sales,26-35
1138,Bachelors,2012,Pune,3,28,Male,4,0,45917,Sales,26-35
1139,Bachelors,2013,Pune,2,26,Female,4,1,68543,HR,26-35
1140,Bachelors,2014,Bangalore,3,28,Female,3,0,47939,Sales,26-35
1141,Masters,2017,New Delhi,2,28,Female,2,0,75468,HR,26-35
